domain,data_item,crew_page,api,dto_field,local_calculation,fallback,snapshot_or_cache,test_mode_difference,confidence
identity,한글 이름,"(cluster-pages)layout 사이드바, /career",GET /api/profile,data.display_name,"성/이름 분리(공백 없으면 복성 10종 목록으로 1~2자 추정)",없음 → 빈 문자열,ProfileContext 5분 캐시 + fetch-dedupe 30s,demoUserId → targetUserId 폴드,HIGH
identity,영문 이름,"(cluster-pages)layout 사이드바, /cluster-2, /cluster-3",GET /api/profile,data.english_name (레거시 eng_name fallback),first/last 분리,레거시 키 eng_name,ProfileContext 캐시,demoUserId 폴드,HIGH
identity,크루 이름 표시,/crews,GET /api/crews,data[].name,mask.crewName(name) — 비로그인이면 마스킹,로그인/데모면 raw,없음(no-store),비로그인만 마스킹,HIGH
identity,크루 이름 표시,"/cluster-4-card/[weekId] 평판·동료",GET /api/weekly-reputations · /api/weekly-colleagues,fromProfile.name / colleague.name,mask 적용 + null→'-','-',없음,demoQS 부착,MEDIUM
identity,학교,"(cluster-pages)layout 사이드바, /cluster-2, /cluster-4-card",GET /api/educations,data[].school_name,mask.school,/api/profile enrichment 값 1차 → educations refine,dedupedJson 30s,비로그인 마스킹,HIGH
identity,학과,"(cluster-pages)layout 사이드바, /cluster-4-1, /cluster-4-card",GET /api/educations,data[].major_name_1,formatMajor(양쪽 trim) + mask.major,user_profiles.department_name,dedupedJson 30s,비로그인 마스킹,HIGH
identity,연락 가능 시간대,(cluster-pages)layout 사이드바,GET /api/profile,data.contactAvailable ?? data.contact_available,alias 2단 coalesce,null,ProfileContext 캐시,없음,HIGH
identity,전화/이메일,(cluster-pages)layout 사이드바,GET /api/profile,data.contact_phone / data.contact_email,'010-' 접두 재조립(저장 시),레거시 phone/email 키,ProfileContext 캐시,없음,MEDIUM
identity,프로필 사진,"/cluster-2, (cluster-pages)layout 사이드바",GET /api/photos,data.sidebarPhoto,없음(profile_photo_url 과 동일 소스),org별 defaultPhotos,dedupedJson 30s + preload,demoUserId 부착,HIGH
identity,조직 슬러그,"/cluster-4-card/[weekId], /crews",GET /api/profile · /api/crews,data.organizationSlug,cardOwnerOrg 도출,없으면 동료 후보 조회 차단,ProfileContext 캐시,없음,HIGH
membership,팀명,"/cluster-4[-ec|-px] 카드, /cluster-4-card, /crews",GET /api/cluster4/weekly-cards · /api/crews,teamName / data[].team,"trim 후 빈값 → '-' ; /crews 는 [team,club] 중 첫 유효값",'-',weekly-cards 스냅샷,demoQS 부착,HIGH
membership,파트명,"/cluster-4 카드, /cluster-4-card",GET /api/cluster4/weekly-cards,partName,trim 후 빈값 → '-','-',스냅샷,demoQS 부착,HIGH
membership,클래스(직책) 라벨,"/cluster-4 카드, /cluster-4-card 헤더·Detail Log",GET /api/cluster4/weekly-cards,"crewClassPositionCode / roleLabel / membershipStatusLabel",resolveCrewClassLabel(3필드 우선순위) → formatCrewClassDisplayLabel,positionCode 없으면 roleLabel 폴백 → '-',스냅샷,demoQS 부착,HIGH
membership,클래스 배지,/crews,GET /api/crews,data[].className,null 이면 배지 미렌더,없음,없음(no-store),없음,HIGH
membership,멤버십 등급,"(cluster-pages)layout 사이드바, /cluster-4-card 동료 모달",GET /api/profile · /api/weekly-colleagues,data.membership_level / colleague.membershipLevel,라벨 변환기(crewClassDisplayLabel) 경유,role 단독 사용 금지,ProfileContext 캐시,없음,MEDIUM
growth-status,성장 상태 배지,/cluster-4,GET /api/cluster3/stats-cards + /api/profile,process.growthStatusKey ?? growthInfo.growthStatus,getGrowthBadgeText(raw enum 전용),stats-cards 없으면 profile growthStatus,dedupedJson,demoQS 부착 · 데모면 stats-cards 미호출,HIGH
growth-status,성장 진행 상태 텍스트,/cluster-3,GET /api/cluster3/stats-cards,process.growthStatusKey → GROWTH_STATUS_LABEL_BY_KEY,키 없으면 getGrowthStatusText(라벨 문자열 추론),growthInfo 더미 시드,dedupedJson,데모는 완전 더미,HIGH
growth-status,활동 상태(2분류),/crews,GET /api/crews,displayGrowthStatus,graduated→'활동 졸업' / 그 외 전부→'활동 중',서버 fallback graft(stale 이력),없음,없음,MEDIUM
growth-status,성장 중단 배지(주차 카드),/cluster-4,GET /api/profile + /api/cluster4/weekly-cards,growthInfo.endWeekInfo + card(year/season/weekNumber),endWeekInfo 와 카드 3필드 일치 시에만 '성장 중단' 덮어쓰기,미일치면 DTO statusLabel 유지,스냅샷,없음,MEDIUM
